nome,L_estimado,L,B,erro_L,B_estimado,B_erro,linha,batch,S_OVO,P_OVO,W,D/4,VOL_OVO,aspect_ratio,bounding_box_area,pca_ratio_1_0,pca_ratio_2_0,sphericity_pca,area_proj_2d,shape_compactness
ovo828.ply,61.23362258910943,60.28,45.63,0.953622589109429,45.29218780125608,-0.3378121987439257,1,4,66.18,65.8,0.96,40.72,65.71,1.3519687513839032,27.734047340571806,0.5828416355063296,0.08324516592736396,0.08324516592736396,15.536391902886129,0.560192016408587
ovo819.ply,55.13271903732003,57.11,43.26,-1.97728096267997,41.77863547316023,-1.4813645268397693,1,4,60.41,57.4,-0.95,39.48,56.41,1.3196390550557555,23.033697713043548,0.5828865867135343,0.09998580393835356,0.09998580393835356,14.675987348537973,0.6371529022987585
ovo880.ply,60.70424260862684,59.21,44.24,1.4942426086268412,44.06817279330258,-0.1718272066974222,2,4,63.35,62.3,1.73,37.79,60.96,1.3775075924603026,26.751250525635285,0.5359040225012877,0.09889090533887361,0.09889090533887361,15.386671071133016,0.575175768190284
ovo503.ply,57.317407975415136,58.2,44.82,-0.8825920245848664,44.72273887916936,-0.0972611208306446,1,2,63.46,63.4,-0.62,38.32,61.38,1.2816166767038508,25.633914701153106,0.6579308111829154,0.10275785798787287,0.10275785798787287,14.606516441820439,0.5698121653328035
ovo69.ply,59.635942069861215,59.88,42.05,-0.244057930138787,43.70224145768522,1.6522414576852211,3,0,60.58,61.5,0.91,37.04,56.12,1.364596873769137,26.06224339893603,0.5091828527698398,0.07552337647734168,0.07552337647734168,15.245656934991777,0.5849710134935724
ovo835.ply,56.9618754544618,57.47,42.35,-0.5081245455382017,40.70840556855513,-1.6415944314448725,2,4,59.36,54.7,-1.52,36.89,54.57,1.3992656960866463,23.188271279457563,0.5102050080694547,0.07917188376895043,0.07917188376895043,14.749796205456075,0.636088651357244
ovo656.ply,60.01631575038119,61.67,46.0,-1.6536842496188129,46.8069055777717,0.8069055777717011,2,3,67.73,62.9,1.5,38.14,68.24,1.282210712491162,28.09178024453825,0.5637374464322742,0.11917111969782591,0.11917111969782591,16.01471407092879,0.5700854104482201
ovo368.ply,57.04058494886285,56.91,44.71,0.1305849488628538,44.20616144316922,-0.5038385568307788,3,1,62.35,62.7,1.55,38.57,59.75,1.2903311006135054,25.2154530706224,0.5719152069607423,0.08549477039572052,0.08549477039572052,14.86104017223833,0.5893624092581697
ovo499.ply,59.47327935926743,58.59,44.74,0.8832793592674264,44.58386651742685,-0.1561334825731535,3,2,63.63,63.1,1.91,36.33,61.59,1.3339641445414034,26.515487483072164,0.5598725421109634,0.11012656933819329,0.11012656933819329,14.985536614045127,0.5651616483993398
ovo454.ply,59.71063425155975,60.7,46.71,-0.9893657484402496,46.39819575768856,-0.311804242311446,3,2,68.1,70.5,0.84,41.71,69.08,1.2869171586626882,27.704656968196133,0.5844556769976303,0.10918989866770874,0.10918989866770874,15.64639263617717,0.5647567719080088
ovo554.ply,59.52446875884058,59.47,44.47,0.0544687588405849,44.88220025026212,0.4122002502621242,1,2,63.87,63.9,-0.63,37.33,61.82,1.3262377607811895,26.715891266247546,0.5862049472401013,0.1163616248776249,0.1163616248776249,15.202652086064706,0.5690490328230788
ovo501.ply,62.66385194667899,63.34,45.19,-0.6761480533210147,46.28130136024142,1.091301360241424,2,2,67.65,69.7,1.69,37.91,67.83,1.3539777427371829,29.001646163378012,0.5350304164803519,0.10269053635113361,0.10269053635113361,15.747043731014761,0.5429706866398303
ovo882.ply,62.496241417423136,63.31,48.77,-0.8137585825768667,48.747906516733465,-0.0220934832665378,1,4,73.16,76.2,3.1,42.4,77.99,1.282029237419054,30.46560934263749,0.6554890533225186,0.11229568830569675,0.11229568830569675,16.235167428672536,0.5329014511438298
ovo239.ply,60.12472333770685,60.36,46.83,-0.2352766622931454,47.03712499204241,0.2071249920424094,3,1,68.03,72.5,0.95,40.69,69.02,1.2782397595065293,28.28094126747686,0.5599352328395493,0.10054328125084477,0.10054328125084477,16.06674428537164,0.5681120770845216
ovo304.ply,58.01336822336089,56.46,42.83,1.5533682233608914,46.03925459234888,3.209254592348877,2,1,59.33,57.1,1.02,36.78,54.75,1.26008487185633,26.708922293949946,0.5867863491853342,0.10317226763037343,0.10317226763037343,15.235213154749507,0.5704166191011218
ovo271.ply,63.68284418053997,63.97,45.44,-0.2871558194600254,46.49981595229393,1.0598159522939312,2,1,68.47,69.5,1.36,38.94,69.2,1.3695289513806854,29.61240533713721,0.5057076823173146,0.08765433662767487,0.08765433662767487,16.32798427311987,0.5513900031836585
ovo110.ply,61.35986129375912,61.02,47.06,0.3398612937591139,48.74758716051287,1.6875871605128694,2,0,68.86,73.6,0.0,41.24,70.41,1.258726120981483,29.911451865745025,0.61288202903712,0.11168154142639967,0.11168154142639967,16.079239249735227,0.5375613100261902
ovo417.ply,60.60512106884364,59.52,43.44,1.085121068843634,43.10712471437526,-0.3328752856247376,2,2,62.39,61.1,1.08,37.57,59.25,1.4059188932318927,26.125125122444544,0.4952764283257873,0.08651638461067153,0.08651638461067153,15.2274747741493,0.5828670562449141
ovo68.ply,60.40952010901655,60.04,46.25,0.3695201090165483,47.20164783066765,0.9516478306676532,2,0,66.93,71.3,0.57,41.3,67.1,1.27981803359347,28.51428893805435,0.6141142851919051,0.11209491766460866,0.11209491766460866,15.91659669194597,0.5581972156669892
ovo265.ply,58.61798668731284,58.85,44.2,-0.2320133126871653,45.54024957617637,1.3402495761763689,2,1,63.03,60.7,1.14,36.71,60.49,1.2871687624210535,26.69477743393211,0.5729727447958539,0.08926252265366573,0.08926252265366573,15.490339981311326,0.5802760491129376
ovo320.ply,59.954348523832046,59.41,43.84,0.5443485238320491,43.873535729416616,0.0335357294166129,3,1,62.9,62.6,0.59,38.94,60.15,1.3665264840652782,26.30409252094242,0.5088390901680123,0.06617289615836382,0.06617289615836382,15.303450211987451,0.5817897043892835
ovo188.ply,60.03496280886576,59.95,43.76,0.084962808865761,44.74453940071306,0.9845394007130608,2,0,63.16,64.1,-1.06,34.36,60.49,1.3417271383937641,26.862367588216372,0.532479975629474,0.08785450402147155,0.08785450402147155,15.619806693816898,0.5814754281252852
ovo954.ply,57.97873582538432,59.94,46.23,-1.9612641746156785,45.687635929912936,-0.5423640700870607,1,4,66.82,66.2,-1.58,40.88,66.93,1.2690246419036986,26.48911374066759,0.6307802321250048,0.07991699837250486,0.07991699837250486,15.386511419527546,0.5808616917184851
ovo91.ply,57.40990014965569,59.16,44.2,-1.7500998503443057,43.02605899696353,-1.1739410030364752,1,0,63.25,64.0,1.07,38.09,60.81,1.3343053369983822,24.70121750848871,0.6134283968028033,0.08839029439806596,0.08839029439806596,14.30989225893374,0.5793193090185156
ovo605.ply,58.60956984645031,58.81,45.91,-0.2004301535496893,47.571204248328826,1.6612042483288292,2,3,65.51,66.6,1.52,39.09,64.84,1.2320388094549712,27.88127818072182,0.613242717033459,0.10499490985829786,0.10499490985829786,15.976950388642491,0.5730350769818567
ovo788.ply,61.10899429186416,60.59,46.62,0.5189942918641606,45.77128448841837,-0.8487155115816236,2,3,67.88,69.3,0.0,41.43,68.71,1.3350945898694788,27.970371625340487,0.5743682802244093,0.0718867817543783,0.0718867817543783,15.57940390611996,0.5569966718642163
ovo202.ply,62.43114199773521,62.71,42.34,-0.2788580022647906,41.04321034384377,-1.2967896561562355,2,1,62.87,61.9,2.88,38.11,59.52,1.5211076685939482,25.62374493019425,0.4097416119891516,0.06639636344139312,0.06639636344139312,15.293351665255969,0.5968429558957538
ovo547.ply,56.24310381251173,56.65,45.4,-0.4068961874882646,44.90389300984282,-0.4961069901571804,3,2,63.14,62.3,-1.87,37.81,61.18,1.2525217757886467,25.255343161385095,0.6515429994255346,0.11452424793228361,0.11452424793228361,14.674835910884124,0.5810586622050596
ovo318.ply,59.182095430815096,62.32,42.5,-3.1379045691849043,42.6307761488787,0.1307761488787022,1,1,62.86,60.1,3.24,37.66,59.57,1.3882481337926975,25.229786623326554,0.5044477805539976,0.07938335209842806,0.07938335209842806,15.251368980638347,0.6044985321650512
ovo940.ply,56.08251542862924,56.32,46.07,-0.2374845713707571,46.58936443372348,0.5193644337234744,2,4,63.84,62.8,0.49,38.81,62.49,1.2037621914420062,26.128487496643277,0.6857007218671987,0.10473775352047271,0.10473775352047271,15.298210880642413,0.5854992900988919
ovo178.ply,56.51536215040459,58.85,44.28,-2.33463784959541,44.38377452999456,0.1037745299945598,1,0,63.15,62.7,1.25,36.81,60.69,1.273333842127634,25.08365091164546,0.6089358980302285,0.10373853127622347,0.10373853127622347,14.809301828703159,0.5903965846466042
ovo430.ply,60.04722343461218,59.26,44.21,0.78722343461218,45.676133823453206,1.4661338234532053,3,2,63.34,65.8,1.24,40.51,60.94,1.3146301669643476,27.427250133261413,0.5779206954113433,0.0833780811023219,0.0833780811023219,15.178584751954313,0.5534125615293466
ovo367.ply,59.750437986777854,60.48,43.64,-0.729562013222143,42.4325846302198,-1.2074153697802004,2,1,63.35,60.7,1.92,38.18,60.72,1.4081262903845022,25.353655165666513,0.4686196829855607,0.09209396694435527,0.09209396694435527,15.107784340144756,0.5958819050518388
ovo24.ply,60.23616061322324,59.01,43.11,1.226160613223243,43.94217932112649,0.832179321126489,3,0,61.54,61.3,1.26,38.53,57.92,1.3708050338837643,26.469081712824323,0.522146498944882,0.08329601426711764,0.08329601426711764,15.304878855578346,0.5782172204396159
ovo31.ply,68.68332912621143,67.58,47.74,1.1033291262114346,47.17561750588927,-0.5643824941107312,1,0,74.52,83.2,1.55,39.34,80.06,1.4559073682000496,32.40178463889254,0.5033964989463027,0.09034755032630001,0.09034755032630001,16.784182747750663,0.5180017994318823
ovo587.ply,60.06919504264764,60.87,42.9,-0.8008049573523621,43.13004181246984,0.2300418124698424,1,2,62.51,62.8,0.0,38.05,59.2,1.392746042394986,25.90786893830799,0.5204825007406325,0.08071730277857224,0.08071730277857224,15.484765247405925,0.5976857951643326
ovo313.ply,55.656294914464965,56.14,43.04,-0.4837050855350355,43.91970598736189,0.8797059873618878,2,1,59.4,57.2,0.99,39.69,54.93,1.2672283127414454,24.444081089892062,0.6065648596570546,0.09879898251781738,0.09879898251781738,14.948662641729932,0.6115452892975141
ovo975.ply,60.11872545042005,58.67,45.71,1.4487254504200422,44.93446993501829,-0.7755300649817087,1,4,65.11,66.2,0.0,39.37,64.16,1.3379199874252523,27.01403061283519,0.5741404242680536,0.0932194382650294,0.0932194382650294,15.721316967726551,0.5819685774790258
ovo214.ply,59.45903687485083,59.31,42.6,0.1490368748508288,42.554383829363154,-0.0456161706368476,2,1,61.0,60.1,0.68,38.56,56.94,1.397248215677916,25.302426772966598,0.4826508206263879,0.08396372298345181,0.08396372298345181,15.22086231458476,0.6015574099337738
ovo576.ply,54.58465337116187,54.73,41.96,-0.1453466288381264,42.10145950539827,0.1414595053982665,2,2,56.85,53.5,-0.52,37.29,51.09,1.2965026393957435,22.980935735221724,0.6081550586250034,0.09311756680721592,0.09311756680721592,14.340057993198768,0.6239980024495035
ovo944.ply,56.38969257727451,56.52,42.58,-0.1303074227254939,42.34509059852535,-0.2349094014746455,3,4,59.02,55.5,2.73,37.84,54.21,1.3316701364960182,23.87826641007682,0.5591376012712753,0.09525229243202864,0.09525229243202864,14.686282764476422,0.6150481158162593
ovo563.ply,54.591278748554295,56.67,44.13,-2.0787212514457067,43.93396788371345,-0.1960321162865526,1,2,61.34,59.2,0.81,37.26,58.08,1.242575651100969,23.984114872698328,0.6634964693587245,0.10591064740042679,0.10591064740042679,14.408931422391632,0.6007697802846022
ovo338.ply,60.86829130714308,59.73,46.29,1.138291307143085,45.391720228837,-0.8982797711629971,3,1,66.76,70.2,0.72,39.68,66.86,1.3409558174989353,27.6291644982119,0.5276066623703386,0.09043782700086088,0.09043782700086088,15.491029446729787,0.5606767243262942
ovo484.ply,59.63033788903741,59.66,45.73,-0.0296621109625832,44.86857989227119,-0.8614201077288044,3,2,65.87,67.5,-0.87,39.88,65.3,1.3289998932930123,26.75528579577401,0.5703975022052702,0.08602592765990415,0.08602592765990415,15.365525860368006,0.5742987003635366
ovo745.ply,62.04742975285151,59.88,45.4,2.167429752851504,45.66106198441165,0.2610619844116542,1,3,65.54,67.1,-1.68,40.78,64.67,1.3588696157359204,28.331515359183804,0.574335935590609,0.06851104654879296,0.06851104654879296,15.321665590137783,0.5407993676261721
ovo950.ply,63.01490045168276,62.05,45.14,0.9649004516827588,45.30474680085209,0.164746800852086,3,4,66.69,68.9,-1.07,39.36,66.31,1.3909116571974216,28.548741096443873,0.4955046596120839,0.08919113695575911,0.08919113695575911,15.768232870141746,0.5523267319169423
ovo876.ply,56.66503313643629,58.4,41.71,-1.734966863563706,38.59294201585841,-3.1170579841415886,1,4,59.08,55.1,0.0,36.96,53.91,1.4682745128151098,21.868703381611812,0.5003446297431,0.08777599889368036,0.08777599889368036,14.021237503520153,0.6411554109472187
ovo61.ply,51.381428437417306,56.67,42.98,-5.288571562582696,41.91924479707364,-1.0607552029263587,1,0,59.7,58.3,0.0,37.24,55.31,1.2257240960840072,21.53870676691417,0.6715495184070805,0.09865848173517501,0.09865848173517501,13.56259860893329,0.6296849089271663
ovo992.ply,56.97277601025823,55.93,43.72,1.0427760102582295,44.62508332318161,0.9050833231816142,3,4,60.21,56.5,0.62,37.24,56.34,1.2766984791412659,25.42414876610736,0.5843570002065714,0.09653059968041934,0.09653059968041934,15.047920296554759,0.591875088326063
ovo252.ply,55.56079868206914,60.79,46.59,-5.229201317930858,47.38851333175366,0.7985133317536537,1,1,67.99,72.6,0.75,40.86,68.86,1.1724528746682474,26.329436490681147,0.6772380718811517,0.1014649925186488,0.1014649925186488,15.480317575404298,0.5879471663164266
ovo426.ply,55.88781425021663,56.74,44.2,-0.8521857497833736,45.13113765584593,0.93113765584593,2,2,61.49,55.0,0.0,36.99,58.32,1.2383426865149578,25.222806382108747,0.6136258076746901,0.10346640566719457,0.10346640566719457,15.18197254414744,0.601914486205486
ovo281.ply,60.407521671848,59.6,43.77,0.8075216718479936,45.32377955751458,1.5537795575145736,3,1,62.93,63.0,1.51,38.71,60.16,1.3327997413629769,27.378971958706234,0.523699358453368,0.0959276340259614,0.0959276340259614,15.510751360794545,0.5665205904804721
