nome,L_estimado,L,B,erro_L,B_estimado,B_erro,linha,batch,S_OVO,P_OVO,W,D/4,VOL_OVO,aspect_ratio,bounding_box_area,pca_ratio_1_0,pca_ratio_2_0,sphericity_pca,area_proj_2d,shape_compactness
ovo803.ply,58.61066466184458,57.9,44.98,0.7106646618445822,44.31015702412167,-0.6698429758783249,3,4,63.48,62.4,-1.26,39.45,61.47,1.3227365596997989,25.970477544544725,0.5575881954109175,0.09553636242151423,0.09553636242151423,14.927163498175133,0.5747743172058338
ovo528.ply,58.52814251068522,58.49,46.86,0.0381425106852191,47.85830265834377,0.9983026583437676,2,2,66.66,69.7,-1.02,39.96,66.96,1.2229464744813978,28.010575583070494,0.6563242502864848,0.1177966623311336,0.1177966623311336,15.738848060367522,0.5618894911206335
ovo804.ply,56.90126357381456,60.18,42.16,-3.27873642618544,42.56707362048086,0.4070736204808654,1,4,60.94,57.0,3.24,36.34,56.67,1.3367436080087238,24.2212027564495,0.5642590285166926,0.10975176530230811,0.10975176530230811,14.545985806023765,0.6005476256603538
ovo506.ply,53.96695648677204,57.53,45.33,-3.56304351322796,44.5544524603499,-0.7755475396500984,1,2,63.71,65.5,-0.78,40.39,61.96,1.2112584378586755,24.044681972196567,0.6900769522407221,0.08706105075670491,0.08706105075670491,14.39685145415279,0.5987540808732762
ovo435.ply,55.52294964069806,55.78,43.63,-0.2570503593019424,43.96629916015021,0.3362991601502045,2,2,59.97,58.4,0.68,38.43,55.98,1.2628524734013198,24.411386141568855,0.6248149816803316,0.10168698304505953,0.10168698304505953,14.715124996432118,0.6027976007218415
ovo533.ply,53.09152741359661,53.8,44.33,-0.7084725864033885,44.38557581100983,0.055575811009831,1,2,59.43,57.9,2.42,38.54,55.6,1.196143712084665,23.564980149384986,0.7098545285581097,0.10095696446219225,0.10095696446219225,14.225766405127374,0.6036825117163804
ovo232.ply,62.51603367710197,62.1,46.88,0.4160336771019715,47.63238503401377,0.7523850340137699,2,1,69.38,74.9,0.73,41.47,71.15,1.3124691033728406,29.77787786907093,0.5449521863479476,0.1024660315562313,0.1024660315562313,15.993283863094074,0.537086085630892
ovo976.ply,60.56630410524793,58.78,45.21,1.786304105247929,45.872152783862106,0.6621527838621049,2,4,64.46,63.8,-0.58,40.39,62.99,1.3203283567401103,27.783067554697876,0.5700389570032406,0.09297840223736109,0.09297840223736109,15.789463481153104,0.5683124604605888
ovo724.ply,53.23419814053813,58.24,43.77,-5.005801859461869,41.424512615336255,-2.3454873846637483,1,3,61.96,58.4,1.71,37.81,58.79,1.285089305331493,22.052007124400316,0.6812302353688502,0.08544700773188338,0.08544700773188338,13.513337907694964,0.6127940115139269
ovo216.ply,55.82562494574302,62.6,45.47,-6.7743750542569785,44.67654647943324,-0.7934535205667643,1,1,67.58,69.5,1.52,39.13,67.8,1.2495510361670914,24.94096127631896,0.6002295247920508,0.10325186412130548,0.10325186412130548,15.08041359885114,0.6046444413980848
ovo82.ply,57.43113468426621,60.16,44.16,-2.7288653157337848,44.081255554942416,-0.0787444450575804,1,0,63.9,64.6,0.0,38.3,61.73,1.3028470709661308,25.31636524827456,0.5923463223804708,0.09315124942940937,0.09315124942940937,15.246415512802901,0.602235564358593
ovo152.ply,58.84819635205382,57.69,44.46,1.158196352053821,44.09705419082928,-0.3629458091707178,2,0,62.57,63.1,-1.07,37.21,59.95,1.3345153646179904,25.950321035690795,0.5789518840035301,0.092731094975049,0.092731094975049,14.691949715437458,0.5661567614223683
ovo308.ply,58.66733732075727,57.91,44.69,0.7573373207572729,45.20846404716985,0.5184640471698501,3,1,63.06,64.6,0.96,37.99,60.75,1.2977069351337536,26.52260210008641,0.5521727547353321,0.0962669840663999,0.0962669840663999,15.33018283679828,0.578004480063754
ovo316.ply,55.79560054707375,56.13,43.49,-0.3343994529262559,44.86894481911452,1.3789448191145155,2,1,60.03,57.5,0.8,37.08,55.99,1.2435237951774696,25.03489722096008,0.6119275984177136,0.1073849849281427,0.1073849849281427,15.04380187421493,0.6009132668465578
ovo492.ply,57.633663130008,58.18,43.63,-0.5463368699919968,42.07135053940856,-1.5586494605914467,2,2,61.72,60.2,0.0,39.15,58.38,1.369902852917025,24.247260444127537,0.5497816807949969,0.09978083236368808,0.09978083236368808,14.410817280624125,0.594327648429837
